"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.1793e-10,3.9637e+06,-1.4064e-33,1,nan,nan,12000,1,0,0,0.0034,0
-5.1731e-10,3.959e+06,2.8353e-20,1,nan,nan,11973,1,6.6001e-06,0,0.0034066,0
-5.1669e-10,3.9543e+06,5.6704e-20,1,nan,nan,11946,1,1.32e-05,0,0.0034132,0
-5.1607e-10,3.9496e+06,8.5057e-20,1,nan,nan,11918,1,1.98e-05,0,0.0034198,0
-4.8109e-10,3.9449e+06,1.0585e-19,1,nan,nan,11891,1,2.64e-05,0,0.0034264,0
-4.8051e-10,3.9402e+06,1.3231e-19,1,nan,nan,11864,1,3.3e-05,0,0.003433,0
-4.7994e-10,3.9355e+06,1.5877e-19,1,nan,nan,11837,1,3.96e-05,0,0.0034396,0
-4.7936e-10,3.9308e+06,1.8523e-19,1,nan,nan,11809,1,4.62e-05,0,0.0034462,0
-4.7863e-10,3.9248e+06,2.0159e-19,1,nan,nan,11783,1,5.28e-05,0,0.0034528,0
-4.7764e-10,3.9168e+06,2.0159e-19,1,nan,nan,11757,1,5.94e-05,0,0.0034594,0
-4.7666e-10,3.9087e+06,2.0159e-19,1,nan,nan,11731,1,6.6e-05,0,0.003466,0
-4.7568e-10,3.9006e+06,2.0159e-19,1,nan,nan,11705,1,7.26e-05,0,0.0034726,0
-4.7469e-10,3.8926e+06,2.0159e-19,1,nan,nan,11679,1,7.92e-05,0,0.0034792,0
-4.7371e-10,3.8845e+06,2.0159e-19,1,nan,nan,11653,1,8.58e-05,0,0.0034858,0
-4.7272e-10,3.8764e+06,2.0159e-19,1,nan,nan,11628,1,9.24e-05,0,0.0034924,0
-4.7174e-10,3.8684e+06,2.0159e-19,1,nan,nan,11602,1,9.9e-05,0,0.003499,0
-4.7076e-10,3.8603e+06,2.0159e-19,1,nan,nan,11576,1,0.0001056,0,0.0035056,0
-4.6981e-10,3.8525e+06,1.927e-19,1,nan,nan,11550,1,0.0001122,0,0.0035122,0
-4.689e-10,3.8451e+06,1.734e-19,1,nan,nan,11525,1,0.0001188,0,0.0035188,0
-4.68e-10,3.8377e+06,1.5409e-19,1,nan,nan,11500,1,0.0001254,0,0.0035254,0
-4.6709e-10,3.8302e+06,1.3479e-19,1,nan,nan,11474,1,0.000132,0,0.003532,0
-4.6619e-10,3.8228e+06,1.1548e-19,1,nan,nan,11449,1,0.0001386,0,0.0035386,0
-4.6528e-10,3.8153e+06,9.6175e-20,1,nan,nan,11424,1,0.0001452,0,0.0035452,0
-4.6437e-10,3.8079e+06,7.687e-20,1,nan,nan,11398,1,0.0001518,0,0.0035518,0
-4.6347e-10,3.8005e+06,5.7565e-20,1,nan,nan,11373,1,0.0001584,0,0.0035584,0
-4.6256e-10,3.793e+06,3.826e-20,1,nan,nan,11347,1,0.000165,0,0.003565,0
-4.6166e-10,3.7856e+06,1.8955e-20,1,nan,nan,11322,1,0.0001716,0,0.0035716,0
-4.6075e-10,3.7782e+06,2.8897e-21,1,nan,nan,11297,1,0.0001782,0,0.0035782,0
-4.2701e-10,3.7709e+06,1.5038e-19,1,nan,nan,11272,1,0.0001848,0,0.0035848,0
-4.2619e-10,3.7636e+06,2.9807e-19,1,nan,nan,11247,1,0.0001914,0,0.0035914,0
-4.2536e-10,3.7563e+06,4.4576e-19,1,nan,nan,11222,1,0.000198,0,0.003598,0
-4.2454e-10,3.749e+06,5.9345e-19,1,nan,nan,11198,1,0.0002046,0,0.0036046,0
-4.2371e-10,3.7417e+06,7.4115e-19,1,nan,nan,11173,1,0.0002112,0,0.0036112,0
-4.2288e-10,3.7344e+06,8.8884e-19,1,nan,nan,11148,1,0.0002178,0,0.0036178,0
-4.2206e-10,3.7271e+06,1.0365e-18,1,nan,nan,11123,1,0.0002244,0,0.0036244,0
-4.2123e-10,3.7198e+06,1.1842e-18,1,nan,nan,11098,1,0.000231,0,0.003631,0
-4.2041e-10,3.7126e+06,1.3319e-18,1,nan,nan,11074,1,0.0002376,0,0.0036376,0
-4.1958e-10,3.7053e+06,1.4796e-18,1,nan,nan,11049,1,0.0002442,0,0.0036442,0
-4.1875e-10,3.698e+06,1.6273e-18,1,nan,nan,11024,1,0.0002508,0,0.0036508,0
-4.1793e-10,3.6907e+06,1.775e-18,1,nan,nan,10999,1,0.0002574,0,0.0036574,0
