"Ma","T","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","k","nut","p","rho","rhoMean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0003193,299.84,0.11112,9.9822e-06,0,0.11027,1.4957e-05,0,3.8786e-05,1.4823e-09,0,-5.2427e-08,0,0,0,6.511e-07,0,99770,1.1566,1.1556,1,0,0.025,0,0
0.0003647,299.84,0.12693,3.0667e-05,0,0.12603,3.5766e-05,0,5.6658e-05,1.2071e-08,0,-1.1715e-07,0,0,0,6.5109e-07,0,99770,1.1566,1.1556,1,5e-06,0.025,5e-06,0
0.00041011,299.84,0.14273,5.1351e-05,0,0.14179,5.6576e-05,0,7.453e-05,2.2659e-08,0,-1.8187e-07,0,0,0,6.5108e-07,0,99770,1.1566,1.1556,1,1e-05,0.025,1e-05,0
0.00045551,299.84,0.15853,7.2036e-05,0,0.15755,7.7385e-05,0,9.2402e-05,3.3248e-08,0,-2.4659e-07,0,0,0,6.5107e-07,0,99770,1.1566,1.1556,1,1.5e-05,0.025,1.5e-05,0
0.00050091,299.84,0.17433,9.272e-05,0,0.17331,9.8194e-05,0,0.00011027,4.3836e-08,0,-3.1131e-07,0,0,0,6.5107e-07,0,99770,1.1566,1.1556,1,2e-05,0.025,2e-05,0
0.00054631,299.84,0.19013,0.0001134,0,0.18907,0.000119,0,0.00012815,5.4425e-08,0,-3.7604e-07,0,0,0,6.5106e-07,0,99770,1.1566,1.1556,1,2.5e-05,0.025,2.5e-05,0
0.00059172,299.84,0.20593,0.00013409,0,0.20483,0.00013981,0,0.00014602,6.5013e-08,0,-4.4076e-07,0,0,0,6.5105e-07,0,99770,1.1566,1.1556,1,3e-05,0.025,3e-05,0
0.00063712,299.84,0.22173,0.00015477,0,0.22059,0.00016062,0,0.00016389,7.5602e-08,0,-5.0548e-07,0,0,0,6.5105e-07,0,99770,1.1566,1.1556,1,3.5e-05,0.025,3.5e-05,0
0.00073355,299.84,0.25529,0.00022375,0,0.25409,0.00022977,0,0.00021658,1.5631e-07,0,-8.3123e-07,0,0,0,6.5101e-07,0,99770,1.1566,1.1556,1,4e-05,0.025,4e-05,0
0.00082999,299.84,0.28886,0.00029273,0,0.28758,0.00029892,0,0.00026926,2.3702e-07,0,-1.157e-06,0,0,0,6.5097e-07,0,99770,1.1566,1.1556,1,4.5e-05,0.025,4.5e-05,0
