ID     Reaction                                            Energy       Database        File      
==     ========                                            ======       ========        ====      
1      E + He -> E + He, Elastic                           --           IST-Lisbon      ./LXCatData/He/R1.txt
2      E + He <-> E + He(2S3), Excitation                  19.82        IST-Lisbon      ./LXCatData/He/R2.txt
3      E + He <-> E + He(2S1), Excitation                  20.62        IST-Lisbon      ./LXCatData/He/R3.txt
4      E + He <-> E + He(2P3), Excitation                  20.96        IST-Lisbon      ./LXCatData/He/R4.txt
5      E + He <-> E + He(2P1), Excitation                  21.218       IST-Lisbon      ./LXCatData/He/R5.txt
6      E + He <-> E + He(3S3), Excitation                  22.719       IST-Lisbon      ./LXCatData/He/R6.txt
7      E + He <-> E + He(3S1), Excitation                  22.919       IST-Lisbon      ./LXCatData/He/R7.txt
8      E + He <-> E + He(3P3), Excitation                  23.009       IST-Lisbon      ./LXCatData/He/R8.txt
9      E + He <-> E + He(3D1), Excitation                  23.069       IST-Lisbon      ./LXCatData/He/R9.txt
10     E + He <-> E + He(3D3), Excitation                  23.069       IST-Lisbon      ./LXCatData/He/R10.txt
11     E + He <-> E + He(3P1), Excitation                  23.09        IST-Lisbon      ./LXCatData/He/R11.txt
12     E + He <-> E + He(4S3), Excitation                  23.589       IST-Lisbon      ./LXCatData/He/R12.txt
13     E + He <-> E + He(4S1), Excitation                  23.669       IST-Lisbon      ./LXCatData/He/R13.txt
14     E + He <-> E + He(4P3), Excitation                  23.709       IST-Lisbon      ./LXCatData/He/R14.txt
15     E + He <-> E + He(4D1), Excitation                  23.739       IST-Lisbon      ./LXCatData/He/R15.txt
16     E + He <-> E + He(4D3), Excitation                  23.739       IST-Lisbon      ./LXCatData/He/R16.txt
17     E + He <-> E + He(4F1), Excitation                  23.739       IST-Lisbon      ./LXCatData/He/R17.txt
18     E + He <-> E + He(4F3), Excitation                  23.739       IST-Lisbon      ./LXCatData/He/R18.txt
19     E + He <-> E + He(4P1), Excitation                  23.74        IST-Lisbon      ./LXCatData/He/R19.txt
20     E + He <-> E + He(5S3), Excitation                  23.972       IST-Lisbon      ./LXCatData/He/R20.txt
21     E + He <-> E + He(5S1), Excitation                  24.011       IST-Lisbon      ./LXCatData/He/R21.txt
22     E + He <-> E + He(5P3), Excitation                  24.028       IST-Lisbon      ./LXCatData/He/R22.txt
23     E + He <-> E + He(5D1), Excitation                  24.043       IST-Lisbon      ./LXCatData/He/R23.txt
24     E + He <-> E + He(5D3), Excitation                  24.043       IST-Lisbon      ./LXCatData/He/R24.txt
25     E + He <-> E + He(5FG1), Excitation                 24.043       IST-Lisbon      ./LXCatData/He/R25.txt
26     E + He <-> E + He(5FG3), Excitation                 24.043       IST-Lisbon      ./LXCatData/He/R26.txt
27     E + He <-> E + He(5P1), Excitation                  24.046       IST-Lisbon      ./LXCatData/He/R27.txt
28     E + He <-> E + He(6S3), Excitation                  24.169       IST-Lisbon      ./LXCatData/He/R28.txt
29     E + He <-> E + He(6S1), Excitation                  24.191       IST-Lisbon      ./LXCatData/He/R29.txt
30     E + He <-> E + He(6P3), Excitation                  24.201       IST-Lisbon      ./LXCatData/He/R30.txt
31     E + He <-> E + He(6D1), Excitation                  24.209       IST-Lisbon      ./LXCatData/He/R31.txt
32     E + He <-> E + He(6D3), Excitation                  24.209       IST-Lisbon      ./LXCatData/He/R32.txt
33     E + He <-> E + He(6FGH1), Excitation                24.21        IST-Lisbon      ./LXCatData/He/R33.txt
34     E + He <-> E + He(6FGH3), Excitation                24.21        IST-Lisbon      ./LXCatData/He/R34.txt
35     E + He <-> E + He(6P1), Excitation                  24.211       IST-Lisbon      ./LXCatData/He/R35.txt
36     E + He <-> E + He(7S3), Excitation                  24.285       IST-Lisbon      ./LXCatData/He/R36.txt
37     E + He <-> E + He(7S1), Excitation                  24.298       IST-Lisbon      ./LXCatData/He/R37.txt
38     E + He <-> E + He(7P3), Excitation                  24.304       IST-Lisbon      ./LXCatData/He/R38.txt
39     E + He <-> E + He(7D1), Excitation                  24.31        IST-Lisbon      ./LXCatData/He/R39.txt
40     E + He <-> E + He(7D3), Excitation                  24.31        IST-Lisbon      ./LXCatData/He/R40.txt
