"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.8685e-18,0,0,nan,nan,nan,10949,1,0,0,0,0
0,0,52257,nan,nan,nan,10946,1,0.0001025,0,0,0.0001025
2.8776e-18,2.8776e-18,1.046e+05,nan,nan,nan,10938,1,0.000205,0,0,0.000205
0,0,1.5712e+05,nan,nan,nan,10925,1,0.0003075,0,0,0.0003075
0.0015039,0.0015039,2.099e+05,nan,nan,nan,10906,1,0.00041,0,0,0.00041
0.0021484,0.0021484,2.6299e+05,nan,nan,nan,10881,1,0.0005125,0,0,0.0005125
2.9473e-18,0,3.1647e+05,nan,nan,nan,10852,1,0.000615,0,0,0.000615
2.9713e-18,2.9723e-18,3.7038e+05,nan,nan,nan,10816,1,0.0007175,0,0,0.0007175
2.996e-18,2.996e-18,4.2471e+05,nan,nan,nan,10776,1,0.00082,0,0,0.00082
0,0,4.795e+05,nan,nan,nan,10729,1,0.0009225,0,0,0.0009225
3.0431e-18,3.0421e-18,5.3471e+05,nan,nan,nan,10677,1,0.001025,0,0,0.001025
0,0,5.9027e+05,nan,nan,nan,10620,1,0.0011275,0,0,0.0011275
3.0759e-18,3.074e-18,6.4614e+05,nan,nan,nan,10556,1,0.00123,0,0,0.00123
3.0815e-18,3.0815e-18,7.0218e+05,nan,nan,nan,10487,1,0.0013325,0,0,0.0013325
0,0,7.5827e+05,nan,nan,nan,10413,1,0.001435,0,0,0.001435
0,3.0666e-18,8.1422e+05,nan,nan,nan,10332,1,0.0015375,0,0,0.0015375
3.0431e-18,3.0421e-18,8.6985e+05,nan,nan,nan,10246,1,0.00164,0,0,0.00164
3.0066e-18,3.0075e-18,9.2494e+05,nan,nan,nan,10154,1,0.0017425,0,0,0.0017425
0,2.9571e-18,9.792e+05,nan,nan,nan,10056,1,0.001845,0,0,0.001845
0.0026855,0.0026855,1.0324e+06,nan,nan,nan,9952.9,1,0.0019475,0,0,0.0019475
0.00053711,0.00053711,1.0843e+06,nan,nan,nan,9844.4,1,0.00205,0,0,0.00205
0,2.7084e-18,1.1345e+06,nan,nan,nan,9730.6,1,0.0021525,0,0,0.0021525
0,0,1.1828e+06,nan,nan,nan,9612,1,0.002255,0,0,0.002255
2.4634e-18,2.4634e-18,1.2288e+06,nan,nan,nan,9488.2,1,0.0023575,0,0,0.0023575
0.0025635,0.0025635,1.2723e+06,nan,nan,nan,9360.6,1,0.00246,0,0,0.00246
2.158e-18,2.158e-18,1.3134e+06,nan,nan,nan,9226.4,1,0.0025625,0,0,0.0025625
0,0,1.3508e+06,nan,nan,nan,9089.6,1,0.002665,0,0,0.002665
-1.9715e-25,1.8029e-18,1.3852e+06,nan,nan,nan,8949.1,1,0.0027675,0,0,0.0027675
0,0,1.4162e+06,nan,nan,nan,8805.3,1,0.00287,0,0,0.00287
0,0,1.4439e+06,nan,nan,nan,8658.6,1,0.0029725,0,0,0.0029725
0.0025024,0.0025024,1.4677e+06,nan,nan,nan,8509.1,1,0.003075,0,0,0.003075
0.0019709,0.0019709,1.4877e+06,nan,nan,nan,8357.3,1,0.0031775,0,0,0.0031775
0.00064541,0.00064541,1.5041e+06,nan,nan,nan,8203.7,1,0.00328,0,0,0.00328
0.0025024,0.0025024,1.5169e+06,nan,nan,nan,8048.6,1,0.0033825,0,0,0.0033825
0.0021021,0.0021021,1.5262e+06,nan,nan,nan,7892.4,1,0.003485,0,0,0.003485
0.00026758,0.00026758,1.5321e+06,nan,nan,nan,7735.5,1,0.0035875,0,0,0.0035875
0.00047275,0.00047275,1.5344e+06,nan,nan,nan,7578,1,0.00369,0,0,0.00369
0.00049054,0.00049054,1.5332e+06,nan,nan,nan,7420.6,1,0.0037925,0,0,0.0037925
0.00037402,0.00037402,1.5292e+06,nan,nan,nan,7263.4,1,0.003895,0,0,0.003895
0.00019442,0.00019442,1.5227e+06,nan,nan,nan,7106.8,1,0.0039975,0,0,0.0039975
2.2165e-05,2.2165e-05,1.5135e+06,nan,nan,nan,6950.8,1,0.0041,0,0,0.0041
-7.0711e-19,-7.0711e-19,1.5014e+06,nan,nan,nan,6796.4,1,0.0042025,0,0,0.0042025
0,-8.2394e-19,1.4875e+06,nan,nan,nan,6642.9,1,0.004305,0,0,0.004305
0,-9.2913e-19,1.4717e+06,nan,nan,nan,6490.9,1,0.0044075,0,0,0.0044075
-1.0189e-18,0,1.4536e+06,nan,nan,nan,6341.2,1,0.00451,0,0,0.00451
0.00012319,0.00012319,1.4348e+06,nan,nan,nan,6192.5,1,0.0046125,0,0,0.0046125
0.0015215,0.0015215,1.4137e+06,nan,nan,nan,6047,1,0.004715,0,0,0.004715
0.0025024,0.0025024,1.392e+06,nan,nan,nan,5902.7,1,0.0048175,0,0,0.0048175
0.0025024,0.0025024,1.3689e+06,nan,nan,nan,5761.5,1,0.00492,0,0,0.00492
0.0020027,0.0020027,1.3452e+06,nan,nan,nan,5622.1,1,0.0050225,0,0,0.0050225
0.00075822,0.00075822,1.3207e+06,nan,nan,nan,5485.7,1,0.005125,0,0,0.005125
0,0,1.2958e+06,nan,nan,nan,5351.3,1,0.0052275,0,0,0.0052275
0,0,1.2702e+06,nan,nan,nan,5220.2,1,0.00533,0,0,0.00533
-1.4244e-18,-2.0708e-25,1.2446e+06,nan,nan,nan,5090.5,1,0.0054325,0,0,0.0054325
-1.4304e-18,-1.4304e-18,1.2186e+06,nan,nan,nan,4965.3,1,0.005535,0,0,0.005535
-1.4373e-18,-1.4368e-18,1.1925e+06,nan,nan,nan,4840,1,0.0056375,0,0,0.0056375
-1.4328e-18,-1.2061e-25,1.1665e+06,nan,nan,nan,4721,1,0.00574,0,0,0.00574
-1.4279e-18,-3.4154e-26,1.1404e+06,nan,nan,nan,4601.9,1,0.0058425,0,0,0.0058425
0,-1.4199e-18,1.1146e+06,nan,nan,nan,4486.9,1,0.005945,0,0,0.005945
0,-1.4073e-18,1.0889e+06,nan,nan,nan,4374.4,1,0.0060475,0,0,0.0060475
-1.3948e-18,-1.3948e-18,1.0632e+06,nan,nan,nan,4262.4,1,0.00615,0,0,0.00615
-1.377e-18,-1.3779e-18,1.0383e+06,nan,nan,nan,4156.8,1,0.0062525,0,0,0.0062525
-1.3588e-18,0,1.0133e+06,nan,nan,nan,4051.1,1,0.006355,0,0,0.006355
0,-1.339e-18,9.8872e+05,nan,nan,nan,3948.1,1,0.0064575,0,0,0.0064575
0,-1.3158e-18,9.6478e+05,nan,nan,nan,3849.5,1,0.00656,0,0,0.00656
0,-1.2935e-18,9.4085e+05,nan,nan,nan,3750.8,1,0.0066625,0,0,0.0066625
0,-1.2716e-18,9.1758e+05,nan,nan,nan,3655.8,1,0.006765,0,0,0.006765
0,-1.2452e-18,8.9491e+05,nan,nan,nan,3564.2,1,0.0068675,0,0,0.0068675
0,-1.2208e-18,8.7224e+05,nan,nan,nan,3472.6,1,0.00697,0,0,0.00697
-1.1959e-18,0,8.5028e+05,nan,nan,nan,3384.5,1,0.0070725,0,0,0.0070725
-1.1698e-18,0,8.2905e+05,nan,nan,nan,3299.9,1,0.007175,0,0,0.007175
-1.144e-18,0,8.0781e+05,nan,nan,nan,3215.3,1,0.0072775,0,0,0.0072775
0,-1.1182e-18,7.8703e+05,nan,nan,nan,3132.7,1,0.00738,0,0,0.00738
0,-1.0928e-18,7.6735e+05,nan,nan,nan,3055,1,0.0074825,0,0,0.0074825
-1.0664e-18,-1.0674e-18,7.4767e+05,nan,nan,nan,2977.4,1,0.007585,0,0,0.007585
-1.0417e-18,-1.0413e-18,7.2798e+05,nan,nan,nan,2899.7,1,0.0076875,0,0,0.0076875
-1.0167e-18,-1.016e-18,7.0974e+05,nan,nan,nan,2828.1,1,0.00779,0,0,0.00779
-9.9089e-19,-9.9184e-19,6.9167e+05,nan,nan,nan,2757.2,1,0.0078925,0,0,0.0078925
-9.6667e-19,0,6.736e+05,nan,nan,nan,2686.4,1,0.007995,0,0,0.007995
-9.4225e-19,0,6.56e+05,nan,nan,nan,2617.4,1,0.0080975,0,0,0.0080975
-9.1886e-19,0,6.3956e+05,nan,nan,nan,2553.1,1,0.0082,0,0,0.0082
-8.9576e-19,0,6.2311e+05,nan,nan,nan,2488.8,1,0.0083025,0,0,0.0083025
-8.7209e-19,-8.7181e-19,6.0667e+05,nan,nan,nan,2424.5,1,0.008405,0,0,0.008405
-8.4957e-19,0,5.9099e+05,nan,nan,nan,2363.1,1,0.0085075,0,0,0.0085075
-8.2775e-19,0,5.7615e+05,nan,nan,nan,2305.1,1,0.00861,0,0,0.00861
-8.062e-19,0,5.6131e+05,nan,nan,nan,2247.1,1,0.0087125,0,0,0.0087125
0,0,5.4647e+05,nan,nan,nan,2189.1,1,0.008815,0,0,0.008815
0,-7.6397e-19,5.323e+05,nan,nan,nan,2133.6,1,0.0089175,0,0,0.0089175
0,-7.4445e-19,5.1902e+05,nan,nan,nan,2081.6,1,0.00902,0,0,0.00902
0,-7.2516e-19,5.0574e+05,nan,nan,nan,2029.6,1,0.0091225,0,0,0.0091225
0,0,4.9245e+05,nan,nan,nan,1977.6,1,0.009225,0,0,0.009225
7.4888e-05,7.4888e-05,4.7937e+05,nan,nan,nan,1926.3,1,0.0093275,0,0,0.0093275
0.00062513,0.00062513,4.6758e+05,nan,nan,nan,1880,1,0.00943,0,0,0.00943
0.0011754,0.0011754,4.5578e+05,nan,nan,nan,1833.7,1,0.0095325,0,0,0.0095325
0.0017256,0.0017256,4.4398e+05,nan,nan,nan,1787.3,1,0.009635,0,0,0.009635
0.0022758,0.0022758,4.3218e+05,nan,nan,nan,1741,1,0.0097375,0,0,0.0097375
0.0025024,0.0025024,4.212e+05,nan,nan,nan,1697.8,1,0.00984,0,0,0.00984
0.0025024,0.0025024,4.108e+05,nan,nan,nan,1656.7,1,0.0099425,0,0,0.0099425
0.0025024,0.0025024,4.004e+05,nan,nan,nan,1615.7,1,0.010045,0,0,0.010045
0.0025024,0.0025024,3.9e+05,nan,nan,nan,1574.7,1,0.010147,0,0,0.010147
0.0025024,0.0025024,3.7959e+05,nan,nan,nan,1533.7,1,0.01025,0,0,0.01025
0.0025024,0.0023144,3.7019e+05,nan,nan,nan,1496.4,1,0.010352,0,0,0.010352
0.0025024,0.0020696,3.6108e+05,nan,nan,nan,1460.4,1,0.010455,0,0,0.010455
0.0025024,0.0018248,3.5198e+05,nan,nan,nan,1424.3,1,0.010557,0,0,0.010557
0.0025024,0.0015799,3.4287e+05,nan,nan,nan,1388.2,1,0.01066,0,0,0.01066
0.0025024,0.0013351,3.3376e+05,nan,nan,nan,1352.1,1,0.010762,0,0,0.010762
0.0025024,0.0012512,3.2544e+05,nan,nan,nan,1319.1,1,0.010865,0,0,0.010865
0.0025024,0.0012512,3.1753e+05,nan,nan,nan,1287.6,1,0.010967,0,0,0.010967
0.0025024,0.0012512,3.0962e+05,nan,nan,nan,1256.1,1,0.01107,0,0,0.01107
0.0025024,0.0012512,3.0171e+05,nan,nan,nan,1224.6,1,0.011172,0,0,0.011172
0.0025024,0.0012512,2.938e+05,nan,nan,nan,1193.1,1,0.011275,0,0,0.011275
0.0025075,0.0012879,2.8615e+05,nan,nan,nan,1162.6,1,0.011377,0,0,0.011377
0.0025288,0.0014407,2.7932e+05,nan,nan,nan,1135.3,1,0.01148,0,0,0.01148
