"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.1237e-19,1.9715e-26,0,nan,nan,nan,11886,1,0,0,0,0
0,0,5690.9,nan,nan,nan,11886,1,0.0001025,0,0,0.0001025
3.1348e-19,3.1348e-19,11393,nan,nan,nan,11885,1,0.000205,0,0,0.000205
0,0,17115,nan,nan,nan,11884,1,0.0003075,0,0,0.0003075
0.00013672,0.00013672,22871,nan,nan,nan,11882,1,0.00041,0,0,0.00041
0.00019531,0.00019531,28665,nan,nan,nan,11879,1,0.0005125,0,0,0.0005125
3.2218e-19,0,34507,nan,nan,nan,11876,1,0.000615,0,0,0.000615
3.2528e-19,3.2539e-19,40404,nan,nan,nan,11872,1,0.0007175,0,0,0.0007175
3.2854e-19,3.2854e-19,46357,nan,nan,nan,11867,1,0.00082,0,0,0.00082
0,0,52372,nan,nan,nan,11862,1,0.0009225,0,0,0.0009225
3.3513e-19,3.3502e-19,58445,nan,nan,nan,11857,1,0.001025,0,0,0.001025
0,0,64571,nan,nan,nan,11850,1,0.0011275,0,0,0.0011275
3.4065e-19,3.4044e-19,70750,nan,nan,nan,11844,1,0.00123,0,0,0.00123
3.4244e-19,3.4244e-19,76967,nan,nan,nan,11836,1,0.0013325,0,0,0.0013325
-0.0012012,0.0012012,83212,nan,nan,nan,11828,1,0.001435,0,0,0.001435
-0.00050049,0.00050049,89468,nan,nan,nan,11819,1,0.0015375,0,0,0.0015375
3.4269e-19,3.4258e-19,95717,nan,nan,nan,11809,1,0.00164,0,0,0.00164
3.4052e-19,3.4063e-19,1.0194e+05,nan,nan,nan,11799,1,0.0017425,0,0,0.0017425
0,3.3712e-19,1.0811e+05,nan,nan,nan,11788,1,0.001845,0,0,0.001845
0,0,1.142e+05,nan,nan,nan,11777,1,0.0019475,0,0,0.0019475
0,3.2531e-19,1.2018e+05,nan,nan,nan,11765,1,0.00205,0,0,0.00205
0,3.1691e-19,1.2602e+05,nan,nan,nan,11752,1,0.0021525,0,0,0.0021525
0,0,1.3171e+05,nan,nan,nan,11739,1,0.002255,0,0,0.002255
2.9552e-19,2.9552e-19,1.3719e+05,nan,nan,nan,11725,1,0.0023575,0,0,0.0023575
2.8274e-19,0,1.4245e+05,nan,nan,nan,11711,1,0.00246,0,0,0.00246
0.00012207,2.6804e-19,1.475e+05,nan,nan,nan,11696,1,0.0025625,0,0,0.0025625
0.00021184,0,1.522e+05,nan,nan,nan,11681,1,0.002665,0,0,0.002665
0.00018525,2.3536e-19,1.5663e+05,nan,nan,nan,11665,1,0.0027675,0,0,0.0027675
0,0,1.6075e+05,nan,nan,nan,11649,1,0.00287,0,0,0.00287
0,0,1.6455e+05,nan,nan,nan,11632,1,0.0029725,0,0,0.0029725
-1.773e-26,1.8002e-19,1.6799e+05,nan,nan,nan,11615,1,0.003075,0,0,0.003075
1.6067e-19,0,1.7108e+05,nan,nan,nan,11597,1,0.0031775,0,0,0.0031775
0,1.4154e-19,1.7382e+05,nan,nan,nan,11580,1,0.00328,0,0,0.00328
1.2236e-19,4.9626e-27,1.7621e+05,nan,nan,nan,11562,1,0.0033825,0,0,0.0033825
-2.0338e-26,1.0372e-19,1.7827e+05,nan,nan,nan,11544,1,0.003485,0,0,0.003485
8.5422e-20,8.5422e-20,1.8001e+05,nan,nan,nan,11525,1,0.0035875,0,0,0.0035875
6.7941e-20,6.7941e-20,1.8139e+05,nan,nan,nan,11507,1,0.00369,0,0,0.00369
0,0,1.8244e+05,nan,nan,nan,11488,1,0.0037925,0,0,0.0037925
2.3209e-05,-1.1604e-05,1.8322e+05,nan,nan,nan,11469,1,0.003895,0,0,0.003895
5.9789e-05,-2.9894e-05,1.8374e+05,nan,nan,nan,11450,1,0.0039975,0,0,0.0039975
9.5113e-05,-4.7557e-05,1.8401e+05,nan,nan,nan,11431,1,0.0041,0,0,0.0041
0.00010077,-4.9829e-05,1.8398e+05,nan,nan,nan,11413,1,0.0042025,0,0,0.0042025
0.00014784,-4.4031e-05,1.8379e+05,nan,nan,nan,11394,1,0.004305,0,0,0.004305
0.0002733,-2.8312e-05,1.834e+05,nan,nan,nan,11375,1,0.0044075,0,0,0.0044075
0.00027768,-1.3394e-05,1.8278e+05,nan,nan,nan,11356,1,0.00451,0,0,0.00451
0.00023756,0,1.8208e+05,nan,nan,nan,11337,1,0.0046125,0,0,0.0046125
9.794e-05,0,1.8115e+05,nan,nan,nan,11319,1,0.004715,0,0,0.004715
0,0,1.8016e+05,nan,nan,nan,11300,1,0.0048175,0,0,0.0048175
0,0,1.7902e+05,nan,nan,nan,11282,1,0.00492,0,0,0.00492
0,0,1.7782e+05,nan,nan,nan,11263,1,0.0050225,0,0,0.0050225
0,0,1.7652e+05,nan,nan,nan,11245,1,0.005125,0,0,0.005125
4.6153e-05,0,1.7517e+05,nan,nan,nan,11227,1,0.0052275,0,0,0.0052275
0.00016427,0,1.7375e+05,nan,nan,nan,11209,1,0.00533,0,0,0.00533
0.00025177,0,1.7232e+05,nan,nan,nan,11192,1,0.0054325,0,0,0.0054325
