"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-4.2436e-11,3.2476e+05,-1.6145e-19,1,nan,nan,12000,1,0,0,0.0034,0
-4.2385e-11,3.2438e+05,3.2548e-06,1,nan,nan,11998,1,6.6001e-06,0,0.0034066,0
-4.2334e-11,3.2399e+05,6.5095e-06,1,nan,nan,11996,1,1.32e-05,0,0.0034132,0
-4.2283e-11,3.236e+05,9.7643e-06,1,nan,nan,11993,1,1.98e-05,0,0.0034198,0
-3.9416e-11,3.2321e+05,1.3019e-05,1,nan,nan,11991,1,2.64e-05,0,0.0034264,0
-3.9369e-11,3.2282e+05,1.6274e-05,1,nan,nan,11989,1,3.3e-05,0,0.003433,0
-3.9321e-11,3.2244e+05,1.9529e-05,1,nan,nan,11987,1,3.96e-05,0,0.0034396,0
-3.9274e-11,3.2205e+05,2.2783e-05,1,nan,nan,11984,1,4.62e-05,0,0.0034462,0
-3.9213e-11,3.2156e+05,2.4796e-05,1,nan,nan,11982,1,5.28e-05,0,0.0034528,0
-3.9132e-11,3.2089e+05,2.4796e-05,1,nan,nan,11980,1,5.94e-05,0,0.0034594,0
-3.905e-11,3.2022e+05,2.4796e-05,1,nan,nan,11978,1,6.6e-05,0,0.003466,0
-3.8969e-11,3.1955e+05,2.4796e-05,1,nan,nan,11976,1,7.26e-05,0,0.0034726,0
-3.8887e-11,3.1888e+05,2.4796e-05,1,nan,nan,11974,1,7.92e-05,0,0.0034792,0
-3.8806e-11,3.1822e+05,2.4796e-05,1,nan,nan,11972,1,8.58e-05,0,0.0034858,0
-3.8724e-11,3.1755e+05,2.4796e-05,1,nan,nan,11969,1,9.24e-05,0,0.0034924,0
-3.8643e-11,3.1688e+05,2.4796e-05,1,nan,nan,11967,1,9.9e-05,0,0.003499,0
-3.8562e-11,3.1621e+05,2.4796e-05,1,nan,nan,11965,1,0.0001056,0,0.0035056,0
-3.8483e-11,3.1557e+05,2.3702e-05,1,nan,nan,11963,1,0.0001122,0,0.0035122,0
-3.8407e-11,3.1495e+05,2.1327e-05,1,nan,nan,11961,1,0.0001188,0,0.0035188,0
-3.8331e-11,3.1432e+05,1.8953e-05,1,nan,nan,11959,1,0.0001254,0,0.0035254,0
-3.8256e-11,3.137e+05,1.6578e-05,1,nan,nan,11957,1,0.000132,0,0.003532,0
-3.818e-11,3.1308e+05,1.4204e-05,1,nan,nan,11955,1,0.0001386,0,0.0035386,0
-3.8105e-11,3.1246e+05,1.1829e-05,1,nan,nan,11953,1,0.0001452,0,0.0035452,0
-3.8029e-11,3.1184e+05,9.4548e-06,1,nan,nan,11951,1,0.0001518,0,0.0035518,0
-3.7953e-11,3.1122e+05,7.0803e-06,1,nan,nan,11949,1,0.0001584,0,0.0035584,0
-3.7878e-11,3.106e+05,4.7059e-06,1,nan,nan,11947,1,0.000165,0,0.003565,0
-3.7802e-11,3.0998e+05,2.3314e-06,1,nan,nan,11944,1,0.0001716,0,0.0035716,0
-3.7726e-11,3.0936e+05,3.8135e-28,1,nan,nan,11942,1,0.0001782,0,0.0035782,0
-3.4962e-11,3.0874e+05,3.2883e-28,1,nan,nan,11940,1,0.0001848,0,0.0035848,0
-3.4892e-11,3.0813e+05,2.7231e-28,1,nan,nan,11938,1,0.0001914,0,0.0035914,0
-3.4823e-11,3.0751e+05,2.1185e-28,1,nan,nan,11936,1,0.000198,0,0.003598,0
-3.4753e-11,3.069e+05,1.4747e-28,1,nan,nan,11934,1,0.0002046,0,0.0036046,0
-3.4683e-11,3.0628e+05,7.92e-29,1,nan,nan,11932,1,0.0002112,0,0.0036112,0
-3.4614e-11,3.0567e+05,7.083e-30,1,nan,nan,11930,1,0.0002178,0,0.0036178,0
-3.4544e-11,3.0505e+05,-6.8846e-29,1,nan,nan,11928,1,0.0002244,0,0.0036244,0
-3.4474e-11,3.0444e+05,-1.4856e-28,1,nan,nan,11926,1,0.000231,0,0.003631,0
-3.4405e-11,3.0382e+05,-2.3202e-28,1,nan,nan,11924,1,0.0002376,0,0.0036376,0
-3.4335e-11,3.0321e+05,-3.192e-28,1,nan,nan,11922,1,0.0002442,0,0.0036442,0
-3.4265e-11,3.0259e+05,-4.1005e-28,1,nan,nan,11920,1,0.0002508,0,0.0036508,0
-3.4196e-11,3.0198e+05,-5.0455e-28,1,nan,nan,11918,1,0.0002574,0,0.0036574,0
-3.4127e-11,3.0137e+05,-4.0676e-14,1,nan,nan,11916,1,0.000264,0,0.003664,0
-3.4058e-11,3.0076e+05,-9.4183e-14,1,nan,nan,11914,1,0.0002706,0,0.0036706,0
-3.3989e-11,3.0016e+05,-1.5001e-13,1,nan,nan,11912,1,0.0002772,0,0.0036772,0
-3.392e-11,2.9955e+05,-2.0816e-13,1,nan,nan,11910,1,0.0002838,0,0.0036838,0
-3.3852e-11,2.9894e+05,-2.6863e-13,1,nan,nan,11908,1,0.0002904,0,0.0036904,0
