BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
He                                                              
crossSections.txt
--------------------------------------------------
N2                                                              
crossSections.txt
--------------------------------------------------
O2                                                              
crossSections.txt



 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3.rad/s)           0.00000    
A3     Cosine of E-B field angle                  0.00000    
A4     Gas temperature (K)                        300.000    
A5     Excitation temperature (K)                 300.000    
A6     Transition energy (eV)                     0.00000    
A7     Ionization degree                          0.00000    
A8     Gas particle density (1/m3)               0.244631E+26
A9     Ion charge parameter                      -1.00000    
A10    Ion/neutral mass ratio                     1.00000    
A11    Coulomb collision model                    0.00000    
A12    Energy sharing                             1.00000    
A13    Growth model                               1.00000    
A14    Maxwellian mean energy (eV)                0.00000    
A15    # of grid points                           100.000    
A16    Grid type                                  0.00000    
A17    Maximum energy                             200.000    
A18    Precision                                 0.100000E-09
A19    Convergence                               0.100000E-04
A20    Maximum # of iterations                    100.000    
A21    Mole fraction He                        
A22    Mole fraction N2                        
A23    Mole fraction O2                        
            R#      A1           A21           A22           A23      
           1  0.100000       0.00000      0.800000      0.200000    
           2   10.4414       0.00000      0.800000      0.200000    
           3   20.7828       0.00000      0.800000      0.200000    
           4   31.1241       0.00000      0.800000      0.200000    
           5   41.4655       0.00000      0.800000      0.200000    
           6   51.8069       0.00000      0.800000      0.200000    
           7   62.1483       0.00000      0.800000      0.200000    
           8   72.4897       0.00000      0.800000      0.200000    
           9   82.8310       0.00000      0.800000      0.200000    
          10   93.1724       0.00000      0.800000      0.200000    
          11   103.514       0.00000      0.800000      0.200000    
          12   113.855       0.00000      0.800000      0.200000    
          13   124.197       0.00000      0.800000      0.200000    
          14   134.538       0.00000      0.800000      0.200000    
          15   144.879       0.00000      0.800000      0.200000    
          16   155.221       0.00000      0.800000      0.200000    
          17   165.562       0.00000      0.800000      0.200000    
          18   175.903       0.00000      0.800000      0.200000    
          19   186.245       0.00000      0.800000      0.200000    
          20   196.586       0.00000      0.800000      0.200000    
          21   206.928       0.00000      0.800000      0.200000    
          22   217.269       0.00000      0.800000      0.200000    
          23   227.610       0.00000      0.800000      0.200000    
          24   237.952       0.00000      0.800000      0.200000    
          25   248.293       0.00000      0.800000      0.200000    
          26   258.634       0.00000      0.800000      0.200000    
          27   268.976       0.00000      0.800000      0.200000    
          28   279.317       0.00000      0.800000      0.200000    
          29   289.659       0.00000      0.800000      0.200000    
          30   300.000       0.00000      0.800000      0.200000    
          31  0.100000      0.111111      0.711111      0.177778    
          32   10.4414      0.111111      0.711111      0.177778    
          33   20.7828      0.111111      0.711111      0.177778    
          34   31.1241      0.111111      0.711111      0.177778    
          35   41.4655      0.111111      0.711111      0.177778    
          36   51.8069      0.111111      0.711111      0.177778    
          37   62.1483      0.111111      0.711111      0.177778    
          38   72.4897      0.111111      0.711111      0.177778    
          39   82.8310      0.111111      0.711111      0.177778    
          40   93.1724      0.111111      0.711111      0.177778    
          41   103.514      0.111111      0.711111      0.177778    
          42   113.855      0.111111      0.711111      0.177778    
          43   124.197      0.111111      0.711111      0.177778    
          44   134.538      0.111111      0.711111      0.177778    
          45   144.879      0.111111      0.711111      0.177778    
          46   155.221      0.111111      0.711111      0.177778    
          47   165.562      0.111111      0.711111      0.177778    
          48   175.903      0.111111      0.711111      0.177778    
          49   186.245      0.111111      0.711111      0.177778    
          50   196.586      0.111111      0.711111      0.177778    
          51   206.928      0.111111      0.711111      0.177778    
          52   217.269      0.111111      0.711111      0.177778    
          53   227.610      0.111111      0.711111      0.177778    
          54   237.952      0.111111      0.711111      0.177778    
          55   248.293      0.111111      0.711111      0.177778    
          56   258.634      0.111111      0.711111      0.177778    
          57   268.976      0.111111      0.711111      0.177778    
          58   279.317      0.111111      0.711111      0.177778    
          59   289.659      0.111111      0.711111      0.177778    
          60   300.000      0.111111      0.711111      0.177778    
          61  0.100000      0.222222      0.622222      0.155556    
          62   10.4414      0.222222      0.622222      0.155556    
          63   20.7828      0.222222      0.622222      0.155556    
          64   31.1241      0.222222      0.622222      0.155556    
          65   41.4655      0.222222      0.622222      0.155556    
          66   51.8069      0.222222      0.622222      0.155556    
          67   62.1483      0.222222      0.622222      0.155556    
          68   72.4897      0.222222      0.622222      0.155556    
          69   82.8310      0.222222      0.622222      0.155556    
          70   93.1724      0.222222      0.622222      0.155556    
          71   103.514      0.222222      0.622222      0.155556    
          72   113.855      0.222222      0.622222      0.155556    
          73   124.197      0.222222      0.622222      0.155556    
          74   134.538      0.222222      0.622222      0.155556    
          75   144.879      0.222222      0.622222      0.155556    
          76   155.221      0.222222      0.622222      0.155556    
          77   165.562      0.222222      0.622222      0.155556    
          78   175.903      0.222222      0.622222      0.155556    
          79   186.245      0.222222      0.622222      0.155556    
          80   196.586      0.222222      0.622222      0.155556    
          81   206.928      0.222222      0.622222      0.155556    
          82   217.269      0.222222      0.622222      0.155556    
          83   227.610      0.222222      0.622222      0.155556    
          84   237.952      0.222222      0.622222      0.155556    
          85   248.293      0.222222      0.622222      0.155556    
          86   258.634      0.222222      0.622222      0.155556    
          87   268.976      0.222222      0.622222      0.155556    
          88   279.317      0.222222      0.622222      0.155556    
          89   289.659      0.222222      0.622222      0.155556    
          90   300.000      0.222222      0.622222      0.155556    
          91  0.100000      0.333333      0.533333      0.133333    
          92   10.4414      0.333333      0.533333      0.133333    
          93   20.7828      0.333333      0.533333      0.133333    
          94   31.1241      0.333333      0.533333      0.133333    
          95   41.4655      0.333333      0.533333      0.133333    
          96   51.8069      0.333333      0.533333      0.133333    
          97   62.1483      0.333333      0.533333      0.133333    
          98   72.4897      0.333333      0.533333      0.133333    
          99   82.8310      0.333333      0.533333      0.133333    
         100   93.1724      0.333333      0.533333      0.133333    
         101   103.514      0.333333      0.533333      0.133333    
         102   113.855      0.333333      0.533333      0.133333    
         103   124.197      0.333333      0.533333      0.133333    
         104   134.538      0.333333      0.533333      0.133333    
         105   144.879      0.333333      0.533333      0.133333    
         106   155.221      0.333333      0.533333      0.133333    
         107   165.562      0.333333      0.533333      0.133333    
         108   175.903      0.333333      0.533333      0.133333    
         109   186.245      0.333333      0.533333      0.133333    
         110   196.586      0.333333      0.533333      0.133333    
